Gallers,Synergus 
Acraspis_erinacei,S._punctatus_A
Disholcaspis_quercusglobulus,S._campanula_A
Disholcaspis_quercusglobulus,Synergus_sp.3
Andricus_kingii,Synergus_sp.7
Dryocosmus_minusculus,Synergus_sp.8
Druon_ignotum,S._walshii_A
Druon_quercuslanigerum,S._walshii_A
Acraspis_pezomachoides,S._erinacei_A
Acraspis_quercushirta,S._erinacei_B
Acraspis_villosa,S._villosus
Amphibolips_quercusjuglans,S._magnus
Cynips_conspicuus,S._ochreus
Andricus_quercusstrobilanus,S._oneratus_A
Disholcaspis_quercusglobulus,S._oneratus_B
Disholcaspis_quercusmamma,S._oneratus_B
Acraspis_erinacei,S._oneratus_C
Acraspis_pezomachoides,S._oneratus_C
Atrusca_quercuscentricola,S._oneratus_C
Andricus_pisiformis,S._laeviventris_A
Amphibolips_cookii,S._laeviventris_B
Amphibolips_quercusjuglans,S._laeviventris_B
Amphibolips_quercusostensackenii,S._laeviventris_B
Disholcaspis_quercusglobulus,S._laeviventris_C
Callirhytis_quercusventricosa,S._coniferae
Callirhytis_quercuspunctata,S._lignicola
Philonix_fulvicollis,Synergus_sp.2
Philonix_fulvicollis,S._oneratus_B
Philonix_fulvicollis,Synergus_sp.3
Belonocnema_kinseyi,Synergus_sp.6
